iter	Passed	Remaining
455	980	1169
456	981	1166
457	983	1163
458	984	1160
459	987	1159
460	989	1156
461	990	1153
462	991	1149
463	992	1146
464	993	1142
465	994	1139
466	995	1136
467	996	1132
468	997	1129
469	998	1126
470	1004	1127
471	1005	1124
472	1009	1124
473	1010	1121
474	1011	1118
475	1012	1114
476	1014	1111
477	1015	1108
478	1016	1106
479	1019	1104
480	1020	1100
481	1021	1097
482	1023	1095
483	1025	1093
484	1026	1090
485	1027	1087
486	1028	1083
487	1031	1081
488	1032	1078
489	1033	1075
490	1034	1072
491	1037	1071
492	1038	1068
493	1039	1065
494	1046	1067
495	1047	1064
496	1048	1061
497	1049	1058
498	1051	1056
499	1053	1053
500	1054	1050
501	1055	1047
502	1058	1046
503	1062	1045
504	1063	1042
505	1065	1040
506	1068	1038
507	1069	1035
508	1070	1033
509	1072	1030
510	1073	1027
511	1078	1027
512	1079	1024
513	1080	1022
514	1082	1019
515	1083	1016
516	1084	1013
517	1086	1010
518	1087	1007
519	1088	1004
520	1097	1009
521	1098	1006
522	1099	1003
523	1101	1000
524	1107	1002
525	1108	999
526	1109	996
527	1111	993
528	1117	994
529	1118	991
530	1119	988
531	1121	986
532	1123	984
533	1125	982
534	1126	979
535	1127	976
536	1132	976
537	1133	973
538	1134	970
539	1139	970
540	1141	968
541	1143	966
542	1149	967
543	1150	964
544	1154	963
545	1155	961
546	1156	957
547	1158	955
548	1159	952
549	1160	949
550	1162	947
551	1168	948
552	1170	945
553	1172	943
554	1173	940
555	1175	938
556	1176	935
557	1177	932
558	1179	930
559	1180	927
560	1181	924
561	1182	921
562	1184	919
563	1189	919
564	1192	917
565	1193	915
566	1194	912
567	1196	910
568	1198	907
569	1199	904
570	1200	901
571	1203	900
572	1205	898
573	1206	895
574	1207	892
575	1208	889
576	1209	887
577	1211	884
578	1219	886
579	1220	883
580	1221	881
581	1230	884
582	1232	881
583	1233	878
584	1236	876
585	1237	874
586	1244	875
587	1246	873
588	1247	870
589	1249	868
590	1251	866
591	1252	863
592	1253	860
593	1254	857
594	1255	854
595	1259	853
596	1268	856
597	1271	854
598	1277	855
599	1279	852
600	1280	850
601	1289	852
602	1291	850
603	1292	847
604	1293	844
605	1294	841
606	1296	839
607	1297	836
608	1298	833
609	1299	830
610	1300	827
611	1301	825
612	1302	822
613	1303	819
614	1308	819
615	1309	816
616	1311	813
617	1312	811
618	1313	808
619	1314	805
620	1316	803
621	1317	800
622	1318	797
623	1328	800
624	1329	797
625	1330	795
626	1337	795
627	1338	792
628	1340	790
629	1342	788
630	1343	785
631	1344	783
632	1346	780
633	1347	777
634	1350	776
635	1351	773
636	1352	770
637	1353	768
638	1358	767
639	1360	765
640	1364	764
641	1365	761
642	1367	758
643	1368	756
644	1369	753
645	1374	753
646	1377	751
647	1378	748
648	1379	746
649	1380	743
650	1386	743
651	1388	740
652	1389	738
653	1390	735
654	1394	734
655	1396	732
656	1397	729
657	1408	732
658	1410	729
659	1411	727
660	1413	724
661	1414	722
662	1416	719
663	1417	717
664	1418	714
665	1419	711
666	1420	709
667	1421	706
668	1422	703
669	1424	701
670	1425	698
671	1426	696
672	1430	694
673	1431	692
674	1432	689
675	1433	687
676	1434	684
677	1436	682
678	1438	680
679	1440	677
680	1441	675
681	1443	672
682	1444	670
683	1445	667
684	1446	665
685	1447	662
686	1448	660
687	1450	657
688	1457	657
689	1458	655
690	1460	652
691	1461	650
692	1470	651
693	1471	649
694	1479	649
695	1481	646
696	1482	644
697	1489	644
698	1490	641
699	1492	639
700	1493	636
701	1500	637
702	1502	634
703	1503	632
704	1504	629
705	1505	626
706	1506	624
707	1507	621
708	1513	621
709	1514	618
710	1516	616
711	1518	614
712	1520	612
713	1521	609
714	1523	607
715	1524	604
716	1529	603
717	1530	601
718	1531	598
719	1533	596
720	1534	593
721	1535	591
722	1538	589
723	1539	586
724	1540	584
725	1543	582
726	1544	580
727	1546	577
728	1547	575
729	1550	573
730	1551	570
731	1552	568
732	1553	565
733	1556	564
734	1557	561
735	1559	559
736	1560	556
737	1561	554
738	1570	554
739	1571	552
740	1572	549
741	1574	547
742	1576	545
743	1577	542
744	1578	540
745	1579	537
746	1580	535
747	1581	532
748	1583	530
749	1584	528
750	1586	525
751	1587	523
752	1588	521
753	1589	518
754	1594	517
755	1595	514
756	1596	512
757	1600	511
758	1602	508
759	1604	506
760	1606	504
761	1607	502
762	1608	499
763	1610	497
764	1611	495
765	1612	492
766	1613	490
767	1614	487
768	1616	485
769	1617	483
770	1620	481
771	1621	478
772	1625	477
773	1626	474
774	1627	472
775	1634	471
776	1635	469
777	1636	466
778	1637	464
779	1642	463
780	1643	460
781	1644	458
782	1645	456
783	1650	454
784	1651	452
785	1652	450
786	1654	447
787	1658	446
788	1659	443
789	1661	441
790	1662	439
791	1663	436
792	1665	434
793	1666	432
794	1674	431
795	1675	429
796	1676	426
797	1677	424
798	1678	422
799	1679	419
800	1680	417
801	1682	415
802	1683	412
803	1685	410
804	1686	408
805	1687	406
806	1689	403
807	1697	403
808	1698	401
809	1699	398
810	1701	396
811	1708	395
812	1709	393
813	1710	390
814	1711	388
815	1714	386
816	1719	385
817	1719	382
818	1725	381
819	1727	379
820	1728	376
821	1742	377
822	1743	374
823	1745	372
824	1746	370
825	1760	370
826	1761	368
827	1762	366
828	1763	363
829	1774	363
830	1775	361
831	1797	362
832	1798	360
833	1800	358
834	1801	355
835	1804	354
836	1806	351
837	1807	349
838	1808	347
839	1810	344
840	1812	342
841	1813	340
842	1815	338
843	1816	335
844	1817	333
845	1818	330
846	1819	328
847	1820	326
848	1821	323
849	1822	321
850	1823	319
851	1835	318
852	1838	316
853	1845	315
854	1854	314
855	1855	312
856	1856	309
857	1857	307
858	1858	305
859	1859	302
860	1864	301
861	1867	299
862	1871	297
863	1875	295
864	1876	292
865	1877	290
866	1889	289
867	1892	287
868	1893	285
869	1895	283
870	1896	280
871	1897	278
872	1901	276
873	1902	274
874	1904	272
875	1905	269
876	1912	268
877	1914	266
878	1918	264
879	1920	261
880	1922	259
881	1923	257
882	1926	255
883	1929	253
884	1935	251
885	1938	249
886	1942	247
887	1943	245
888	1947	243
889	1948	240
890	1949	238
891	1951	236
892	1953	234
893	1955	231
894	1956	229
895	1960	227
896	1963	225
897	1964	223
898	1965	220
899	1966	218
900	1973	216
901	1979	215
902	1981	212
903	1983	210
904	1984	208
905	1985	206
906	1987	203
907	1988	201
908	1989	199
909	1990	196
910	1991	194
911	1991	192
912	1992	189
913	1993	187
914	1995	185
915	1996	183
916	1997	180
917	1998	178
918	1999	176
919	2000	173
920	2004	171
921	2005	169
922	2006	167
923	2007	165
924	2014	163
925	2015	161
926	2019	159
927	2020	156
928	2023	154
929	2024	152
930	2025	150
931	2026	147
932	2027	145
933	2030	143
934	2031	141
935	2032	138
936	2037	136
937	2038	134
938	2039	132
939	2040	130
940	2041	128
941	2043	125
942	2045	123
943	2046	121
944	2047	119
945	2052	117
946	2053	114
947	2056	112
948	2057	110
949	2059	108
950	2060	106
951	2061	103
952	2062	101
953	2069	99
954	2070	97
955	2071	95
956	2072	93
957	2077	91
958	2078	88
959	2079	86
960	2080	84
961	2082	82
962	2083	80
963	2085	77
964	2086	75
965	2088	73
966	2090	71
967	2091	69
968	2093	66
969	2098	64
970	2099	62
971	2100	60
972	2101	58
973	2102	56
974	2104	53
975	2105	51
976	2106	49
977	2110	47
978	2111	45
979	2112	43
980	2113	40
981	2123	38
982	2124	36
983	2125	34
984	2130	32
985	2131	30
986	2140	28
987	2142	26
988	2143	23
989	2144	21
990	2146	19
991	2158	17
992	2159	15
993	2160	13
994	2161	10
995	2162	8
996	2165	6
997	2166	4
998	2167	2
999	2171	0
