iter	RMSE
329	0.3127357151
330	0.3115947491
331	0.310198522
332	0.3096387783
333	0.3083844068
334	0.3072009319
335	0.3065509817
336	0.305438254
337	0.304659063
338	0.3035901951
339	0.3025507155
340	0.3019788154
341	0.3007746362
342	0.3001971942
343	0.2995465414
344	0.2992800685
345	0.2985277662
346	0.2981673876
347	0.2978275538
348	0.297476853
349	0.2963231135
350	0.2953752135
351	0.2950322554
352	0.2939559816
353	0.2929590458
354	0.292397677
355	0.2916969778
356	0.2911817367
357	0.2905812665
358	0.2900108869
359	0.2895129795
360	0.2888715652
361	0.2878556478
362	0.2870246018
363	0.286105877
364	0.285485291
365	0.2846886642
366	0.2840797885
367	0.283310442
368	0.2827235097
369	0.2821730948
370	0.2818487881
371	0.2813358349
372	0.2807933805
373	0.2805738388
374	0.2797021329
375	0.2789775549
376	0.2784196683
377	0.277869549
378	0.2776561394
379	0.2767626222
380	0.2759197973
381	0.2757105404
382	0.2751647033
383	0.2746360583
384	0.273981121
385	0.2733641788
386	0.2725565656
387	0.2722296211
388	0.2716183961
389	0.2710905542
390	0.2703291554
391	0.2698440586
392	0.2693203724
393	0.2686407468
394	0.2680000168
395	0.2678018917
396	0.2670937427
397	0.2664203221
398	0.2657172435
399	0.2655233486
400	0.2649846369
401	0.2646570225
402	0.2642295208
403	0.2640013327
404	0.2635135122
405	0.2631141633
406	0.2625293936
407	0.2620673828
408	0.2616620111
409	0.261154133
410	0.2606871978
411	0.2601337617
412	0.2595666772
413	0.2591048991
414	0.2585414944
415	0.2580211916
416	0.2575572696
417	0.2573762778
418	0.2572006345
419	0.2568198618
420	0.2566169204
421	0.2561704524
422	0.2558817221
423	0.255518873
424	0.2553035266
425	0.2547562822
426	0.2542045432
427	0.253711406
428	0.2535058585
429	0.2531044192
430	0.2526565718
431	0.2524943503
432	0.2519786718
433	0.2514246856
434	0.2512665297
435	0.2508501775
436	0.2503221373
437	0.2501676628
438	0.2497609941
439	0.2495371608
440	0.2491210945
441	0.2486533719
442	0.248042435
443	0.2475950234
444	0.2473353419
445	0.2469712044
446	0.2468249374
447	0.2464460978
448	0.2460737916
449	0.2456671177
450	0.2454425436
451	0.2448473143
452	0.2442722159
453	0.2440273795
454	0.2434966538
455	0.2432783675
456	0.2431422718
457	0.2429841735
458	0.2426120415
459	0.2421553397
460	0.2419465717
461	0.2412845249
462	0.2411552073
463	0.2409675038
464	0.2408441449
465	0.2406851556
466	0.2400508628
467	0.2398617446
468	0.2397441776
469	0.2393059725
470	0.2391914441
471	0.2381874328
472	0.2376791279
473	0.2370845534
474	0.2367197677
475	0.2363673187
476	0.2360249551
477	0.2355836991
478	0.2353881959
479	0.2344908788
480	0.2343458542
481	0.2341141829
482	0.2338726492
483	0.2335736662
484	0.2332432034
485	0.2331358409
486	0.2327382168
487	0.2324073934
488	0.2320725434
489	0.2317310509
490	0.2314015437
491	0.2308746868
492	0.2307692975
493	0.2303879072
494	0.2295052886
495	0.2291338658
496	0.2287238067
497	0.228410814
498	0.2283091025
499	0.2280900184
500	0.2277440418
501	0.2275423256
502	0.2272305174
503	0.2267468436
504	0.2266487942
505	0.2265521665
506	0.2259701751
507	0.225850939
508	0.2253981309
509	0.2253062229
510	0.2250847988
511	0.2249719693
512	0.2246997985
513	0.2238900311
514	0.2238015625
515	0.2234838406
516	0.223397388
517	0.2233131173
518	0.2230689727
519	0.2226304251
520	0.2225480878
521	0.222467806
522	0.2223895191
523	0.2221078761
524	0.2217835012
525	0.2214585374
526	0.2211330757
527	0.2208543994
528	0.2200449991
529	0.2197589436
530	0.2194796591
531	0.2193060472
532	0.2188957302
533	0.2184863215
534	0.2180881548
535	0.2179866969
536	0.217911495
537	0.2178254777
538	0.2172981378
539	0.2172148009
540	0.2171434934
541	0.2170420514
542	0.2167786372
543	0.2163464788
544	0.2162775519
545	0.2158626538
546	0.215711359
547	0.215545698
548	0.215215749
549	0.2147099234
550	0.2139578769
551	0.2135621557
552	0.2132769573
553	0.2131836998
554	0.2129607021
555	0.2128097102
556	0.2126670729
557	0.2124767381
558	0.212387597
559	0.2122837485
560	0.2121842417
561	0.2118870473
562	0.2117789653
563	0.2115150564
564	0.2112593019
565	0.2109890133
566	0.210904192
567	0.2101961479
568	0.2101275827
569	0.2098939973
570	0.2095388253
571	0.2094038044
572	0.2091478646
573	0.2090078959
574	0.208300031
575	0.2081665392
576	0.2079072631
577	0.207646243
578	0.20699947
579	0.2067655402
580	0.206649904
581	0.2064250568
582	0.2060609461
583	0.2058287332
584	0.2054822803
585	0.2054210083
586	0.205204507
587	0.2051510734
588	0.2049088628
589	0.204720715
590	0.2040705394
591	0.2038936723
592	0.2037197458
593	0.2033887598
594	0.2032640825
595	0.2029996223
596	0.2026917773
597	0.2026402438
598	0.2023377383
599	0.2020398841
600	0.2018767611
601	0.201757329
602	0.2013563163
603	0.2013062303
604	0.2010916187
605	0.2008741976
606	0.2006604073
607	0.2000591578
608	0.1998151761
609	0.1995715262
610	0.1993375568
611	0.1990148296
612	0.1988205245
613	0.1986362815
614	0.198428582
615	0.1980280063
616	0.1979793703
617	0.1974210621
618	0.1971931376
619	0.1971456949
620	0.1965951107
621	0.1965489919
622	0.1963555626
623	0.19616328
624	0.1959311494
625	0.1957530775
626	0.1956777825
627	0.1954655476
628	0.1949833956
629	0.1947060119
630	0.1946286928
631	0.1944645695
632	0.1942496319
633	0.1940167622
634	0.1938223685
635	0.1936407296
636	0.1935715997
637	0.1930698697
638	0.1929231803
639	0.1924470874
640	0.1921612695
641	0.1918679366
642	0.1917741078
643	0.1916265441
644	0.1915083546
645	0.1914642079
646	0.1912849532
647	0.1912224463
648	0.1911598705
649	0.1909644713
650	0.1907516489
651	0.19055054
652	0.190455319
653	0.1903370612
654	0.1901952812
655	0.1901324657
656	0.1900279137
657	0.1898470102
658	0.1897842788
659	0.1897446535
660	0.1896097379
661	0.1895557458
662	0.1894437994
663	0.1891753701
664	0.1890695702
665	0.1888073944
666	0.1887567738
667	0.1886980176
668	0.1884039586
669	0.1882098437
670	0.1879824884
671	0.1879418071
672	0.1878420683
673	0.1876014945
674	0.1874535399
675	0.1873452567
676	0.1871692925
677	0.1869984976
678	0.1868173329
679	0.186646625
680	0.1864030515
681	0.1862626514
682	0.1858017812
683	0.1856359623
684	0.1855102658
685	0.1853929669
686	0.1853203809
687	0.18488257
688	0.1848325775
689	0.1846623657
690	0.1845341268
691	0.1844153054
692	0.1842966185
693	0.1839357033
694	0.1838937248
695	0.1837960161
696	0.1836372462
697	0.1835814257
698	0.1835170909
699	0.1833458385
700	0.1831384844
701	0.1829787376
702	0.1828477083
703	0.1826945249
704	0.1825706468
705	0.1823585243
706	0.1821621449
707	0.1820301345
708	0.181938019
709	0.1817606521
710	0.1815980762
711	0.181437428
712	0.1813120438
713	0.1811925232
714	0.1810037553
715	0.1808209749
716	0.1806955962
717	0.180483304
718	0.1802882129
719	0.1800691954
720	0.1798800651
721	0.1797354318
722	0.1796958715
723	0.1795071669
724	0.17939472
725	0.1790495803
726	0.178806839
727	0.1785517646
728	0.1785213615
729	0.1784703826
730	0.1783250033
731	0.1781595708
732	0.1780009098
733	0.1778186637
734	0.1776656046
735	0.1775168809
736	0.1774221535
737	0.1772798452
738	0.1770934154
739	0.1770400957
740	0.1768758016
741	0.1768371358
742	0.1766704179
743	0.1765003347
744	0.1763494942
745	0.1761428396
746	0.1757520431
747	0.1756259347
748	0.1755266937
749	0.1754665494
750	0.1753334088
751	0.1752095398
752	0.174888989
753	0.1748085961
754	0.1746436317
755	0.1744376433
756	0.1740891357
757	0.173979369
758	0.1738043635
759	0.1734820425
760	0.1731699719
761	0.1730349566
762	0.1727071913
763	0.1725417568
764	0.1724086039
765	0.1723826957
766	0.1722272072
767	0.1720794834
768	0.1718628214
769	0.171810733
770	0.1716318629
771	0.1714988118
772	0.171174846
773	0.1708643278
774	0.1706533874
775	0.1704214596
776	0.1702508331
777	0.1700406507
778	0.1699095812
779	0.1697436324
780	0.1696572168
781	0.1695517807
782	0.1694310619
783	0.1691842814
784	0.1690410463
785	0.1688456766
786	0.1686966373
787	0.1685422893
788	0.1683586016
789	0.1682174801
790	0.1680269458
791	0.1678894822
792	0.1677749052
793	0.1675461881
794	0.1674211861
795	0.1673603865
796	0.16706771
797	0.1668823289
798	0.1666114501
799	0.1665811276
800	0.166454997
801	0.1663285426
802	0.1660826823
803	0.1659783169
804	0.1658484817
805	0.1657896824
806	0.1656131982
807	0.165348042
808	0.1652177061
809	0.165108349
810	0.164956789
811	0.1647507893
812	0.164335145
813	0.1641644725
814	0.1641350758
815	0.1639766211
816	0.1638592959
817	0.1637682912
818	0.1636692299
819	0.1636130657
820	0.1634036581
821	0.1632628671
822	0.1631220832
823	0.162985177
824	0.1628687223
825	0.1626312105
826	0.1623662297
827	0.1622459172
828	0.1620770907
829	0.1619657251
830	0.1617935469
831	0.161699067
832	0.1615823048
833	0.161351107
834	0.1612853005
835	0.161121788
836	0.1610113765
837	0.1609167086
838	0.160804154
839	0.1605790412
840	0.160344769
841	0.1601435121
842	0.1600532941
843	0.159852278
844	0.1597896532
845	0.1597025491
846	0.1595033859
847	0.1593935311
848	0.1592160944
849	0.1591583617
850	0.1589432747
851	0.1588567635
852	0.1588269472
853	0.1586756125
854	0.1584903237
855	0.1584256594
856	0.1581999668
857	0.1581206827
858	0.1579708597
859	0.1577355393
860	0.1576257784
861	0.1573903303
862	0.1571664767
863	0.1570778607
864	0.1570055432
865	0.1569111931
866	0.1568256292
867	0.1567323115
868	0.1566186759
869	0.1565182008
870	0.1563692484
871	0.1562097157
872	0.1560457184
873	0.1558872593
874	0.1557578268
875	0.1555640213
876	0.1553238739
877	0.1551812021
878	0.1550587936
879	0.1549370419
880	0.1547383415
881	0.1545492582
882	0.1544513808
883	0.1543139679
884	0.1542262484
885	0.1541627351
886	0.1540651671
887	0.1539235516
888	0.1537889894
889	0.1536191613
890	0.1533767193
891	0.1533198133
892	0.15312372
893	0.1529788514
894	0.1529305492
895	0.1528271944
896	0.1526680058
897	0.1525004178
898	0.1523385496
899	0.1521548605
900	0.1520077706
901	0.1518913792
902	0.1517126363
903	0.1516932677
904	0.1516081534
905	0.151540824
906	0.1512967541
907	0.1511812021
908	0.1509722785
909	0.1508603055
910	0.1507206432
911	0.1505682471
912	0.1503520893
913	0.1502626569
914	0.1500583112
915	0.1499119943
916	0.1497848017
917	0.1495980641
918	0.1495178399
919	0.1493956554
920	0.1492484424
921	0.1492006489
922	0.1490290276
923	0.1489557219
924	0.1487909655
925	0.1486468656
926	0.1484100036
927	0.1482918722
928	0.1482678537
929	0.1481494784
930	0.1480413227
931	0.1479108253
932	0.1477392824
933	0.1476457149
934	0.1475239714
935	0.1473692668
936	0.1473006709
937	0.147218916
938	0.1471162531
939	0.1470317789
940	0.1468933472
941	0.1466813454
942	0.1465292041
943	0.1464708594
944	0.1463488266
945	0.1462768684
946	0.1461240883
947	0.1460129687
948	0.1458780898
949	0.1456942364
950	0.1455630055
951	0.1455216191
952	0.1453069528
953	0.1451632701
954	0.1450633685
955	0.1449145681
956	0.1448423253
957	0.1446199522
958	0.1444622323
959	0.1443762825
960	0.144249853
961	0.1441577474
962	0.1440768807
963	0.1440542144
964	0.1437068036
965	0.143582412
966	0.1434554307
967	0.1433228586
968	0.1432183472
969	0.1430269376
970	0.1428509475
971	0.142757338
972	0.1426727689
973	0.1425267747
974	0.1424589274
975	0.1423929611
976	0.1422420035
977	0.1421073313
978	0.1419421911
979	0.1418437219
980	0.1417915035
981	0.1416663947
982	0.1416165687
983	0.1415562214
984	0.1414379228
985	0.1413826584
986	0.1412816054
987	0.1411627292
988	0.1410352044
989	0.140846062
990	0.1408200459
991	0.1407456037
992	0.140673799
993	0.1405813341
994	0.1405005175
995	0.1403930157
996	0.1403679097
997	0.1402227805
998	0.1401310197
999	0.1400714952
